Videocard_Name,Price1,G3D_Mark,Videocard_Value2,G2D_Mark,TDP,Power_Perf,Test_Date5,Category 
GeForce GTX 650 Ti,$184.32*,2502,13.57,405,110,22.74,12-Oct,Desktop
GeForce GTX 460 v2,$199.99*,2497,12.48,605,160,15.6,11-Oct,Desktop
GeForce GTX 950A,NA,2461,NA,379,NA,NA,15-Oct,Unknown
FirePro 3D V8800,$424.99*,2438,5.74,632,208,11.72,10-Aug,Workstation
Radeon R9 M470,NA,2435,NA,593,75,32.47,16-Nov,Mobile
FirePro M6100,NA,2433,NA,449,NA,NA,13-Sep,Workstation
Radeon RX 550,$84.99 ,2426,28.54,445,50,48.52,17-Jun,Desktop
GRID M10-2B,NA,2417,NA,340,NA,NA,19-Nov,Unknown
GeForce GTX 960A,NA,2411,NA,631,NA,NA,15-Dec,Unknown
Radeon RX Vega 11 PRD,NA,2402,NA,601,NA,NA,19-Aug,Unknown
GeForce GTX 485M,NA,2401,NA,580,100,24.01,11-Jan,Mobile
Radeon HD 5970,$329.99*,2395,7.26,396,294,8.15,12-Aug,Desktop
Radeon HD 5870,$289.00*,2368,8.2,346,228,10.39,12-Aug,Desktop
GeForce MX150,NA,2365,NA,226,25,94.62,17-Jul,Mobile
GRID K280Q,NA,2363,NA,546,NA,NA,15-Feb,Workstation
GRID M10-1B,NA,2310,NA,417,NA,NA,17-Jun,Unknown
Quadro K3100M,$399.95*,2287,5.72,282,75,30.49,13-Nov,Workstation
GeForce GTX 580M,$248.68*,2279,9.17,562,100,22.79,11-Jul,Mobile
Quadro K620,$138.83*,2274,16.38,467,45,50.54,14-Sep,Workstation
Radeon HD 6970M,$215.99*,2270,10.51,656,75,30.27,11-Mar,Mobile
Radeon R7 250X,$260.70*,2269,8.7,637,95,23.88,15-Aug,Desktop
FirePro V8800,NA,2267,NA,375,NA,NA,20-May,Unknown
GeForce GT 645,NA,2251,NA,721,NA,NA,12-Nov,Unknown
GRID P100-1B,NA,2223,NA,544,NA,NA,18-Aug,Unknown
GeForce GTX 460,$169.71*,2215,13.05,360,150,14.77,12-Aug,Desktop
GeForce GTX 745,$124.04*,2211,17.83,470,55,40.21,14-Mar,Desktop
GeForce GTX 560 SE,$89.99*,2201,24.46,575,150,14.68,12-Aug,Desktop
Quadro 5000,"$2,303.99 ",2188,0.95,406,152,14.39,10-Sep,Workstation
RadeonT R7 450,NA,2185,NA,930,NA,NA,17-Feb,Unknown
Firepro W5170M,NA,2176,NA,683,NA,NA,15-Dec,"Mobile, Workstation"
Intel Iris Pro 580,NA,2174,NA,419,NA,NA,16-Apr,Unknown
Intel Iris Pro P580,NA,2169,NA,573,NA,NA,16-Sep,Unknown
Radeon HD 6870,$150.00*,2149,14.32,436,151,14.23,12-Aug,Desktop
Radeon TM R9 A360,NA,2148,NA,800,NA,NA,16-Apr,Unknown
Quadro K4000M,$599.99*,2146,3.58,442,100,21.46,12-Oct,Workstation
Radeon Pro WX 7130,NA,2146,NA,911,130,16.51,20-Jan,Mobile
GRID K240Q,NA,2144,NA,641,NA,NA,14-Sep,Workstation
GeForce 945M,NA,2130,NA,419,NA,NA,15-Dec,Unknown
GeForce GTX 675M,NA,2120,NA,517,100,21.2,12-May,Mobile
Radeon RX Vega 11,NA,2112,NA,537,NA,NA,18-Feb,Desktop
Radeon HD 5850,$79.99*,2109,26.36,368,151,13.97,12-Aug,Desktop
FirePro M5100,NA,2103,NA,800,NA,NA,14-Feb,Workstation
Radeon R9 350,$103.85*,2101,20.23,520,60,35.02,16-Oct,Desktop
FirePro V7800,NA,2091,NA,426,NA,NA,18-Mar,Unknown
GRID M6-1Q,NA,2069,NA,423,NA,NA,19-Apr,Unknown
Quadro 5000M,NA,2060,NA,426,100,20.6,10-Dec,Workstation
GeForce GTX 480M,NA,2051,NA,536,100,20.51,10-Jul,Mobile
GeForce GTX 555,NA,2043,NA,577,150,13.62,12-Feb,Desktop
Radeon HD 7770,$145.32*,2038,14.02,402,80,25.47,12-Jun,Desktop
Quadro P520,"$1,499.00*",2031,1.36,282,NA,NA,19-Aug,Unknown
GeForce GTX 460 SE,$159.99*,2026,12.66,339,150,13.51,12-Aug,Desktop
GeForce GTX 570M,NA,2024,NA,539,75,26.99,11-Sep,Mobile
GeForce MX230,NA,2010,NA,239,NA,NA,19-Jan,Unknown
Radeon HD 6850,$165.32*,2008,12.14,358,127,15.81,12-Aug,Desktop
Radeon R9 M360,NA,2007,NA,577,NA,NA,16-Apr,Unknown
Embedded Radeon E9173,NA,1996,NA,527,NA,NA,18-Jan,Unknown
GeForce GTX 645,NA,1994,NA,410,64,31.15,13-May,Desktop
Radeon R7 + R7 350 Dual,NA,1982,NA,552,NA,NA,16-Dec,Unknown
Radeon Pro WX 4150,NA,1980,NA,445,50,39.6,17-Jul,Mobile
Radeon R7 + HD 7700 Dual,NA,1962,NA,498,NA,NA,14-Dec,Unknown
Radeon HD 7660D + HD 7700 Dual,NA,1958,NA,495,NA,NA,15-Oct,Unknown
Matrox C680 PCIe x16,NA,1956,NA,880,NA,NA,14-Nov,Unknown
GeForce GTX 670M,NA,1953,NA,616,75,26.04,12-May,Mobile
GeForce GTX 470M,NA,1950,NA,523,50,39,10-Dec,Mobile
GeForce GTX 765M,NA,1949,NA,291,65,29.99,13-Jun,Mobile
Quadro M600M,$102.99*,1932,18.76,622,30,64.42,15-Dec,"Mobile, Workstation"
GeForce MX130,NA,1930,NA,200,NA,NA,18-Jan,Unknown
Radeon RX 570X,NA,1923,NA,750,120,16.03,20-Jan,Desktop
Radeon HD 7560D + 7700 Dual,NA,1919,NA,518,NA,NA,14-Mar,Unknown
Intel Iris Plus 645,NA,1911,NA,496,NA,NA,19-Nov,Unknown
Radeon RX 540,NA,1911,NA,446,NA,NA,17-Dec,Desktop
Radeon HD 7700-serie,NA,1899,NA,533,NA,NA,12-Dec,Unknown
Radeon HD 8670D + HD 7700 Dual,NA,1892,NA,446,NA,NA,17-Apr,Unknown
Radeon Vega 11,NA,1879,NA,515,NA,NA,19-Sep,Unknown
FirePro 3D V7800,$599.99*,1867,3.11,562,138,13.53,10-Aug,Workstation
Radeon R7 450,$52.49*,1861,35.46,464,65,28.63,16-Oct,Desktop
GeForce 945A,NA,1852,NA,716,NA,NA,19-May,Unknown
Intel Iris Plus,NA,1846,NA,309,NA,NA,19-Jul,Unknown
FirePro M5100 FireGL V,NA,1839,NA,867,NA,NA,15-Feb,Unknown
GRID M60-0B,NA,1838,NA,596,NA,NA,17-Aug,Unknown
Radeon HD 6790,$64.99*,1838,28.28,278,150,12.25,11-Apr,Desktop
GeForce GT 755M,NA,1837,NA,314,50,36.74,13-Sep,Mobile
Radeon HD 8570D + HD 7700 Dual,NA,1835,NA,466,NA,NA,14-Dec,Unknown
Quadro 5010M,$235.95*,1833,7.77,568,100,18.33,11-Nov,Workstation
MxGPU,NA,1826,NA,479,NA,NA,17-Jan,Unknown
Intel Iris Plus 655,NA,1821,NA,381,NA,NA,18-Aug,Unknown
FirePro M6000,NA,1820,NA,776,NA,NA,12-Oct,Workstation
Radeon Pro W5500M,NA,1813,NA,777,85,21.33,20-Jan,Mobile
Matrox C900 PCIe x16,NA,1812,NA,761,NA,NA,16-Sep,Unknown
RadeonT RX 560X,NA,1810,NA,676,NA,NA,19-Jul,Unknown
Radeon HD 8870M / R9 M270X / M370X,NA,1800,NA,679,NA,NA,14-Aug,Unknown
Intel Iris 650,NA,1795,NA,764,NA,NA,17-Aug,Unknown
Radeon HD 5830,$159.99*,1792,11.2,298,175,10.24,12-Aug,Desktop
Radeon R7 FX-9830P RADEON,NA,1790,NA,419,NA,NA,16-Dec,Unknown
Radeon HD 8670D + 7700 Dual,NA,1789,NA,572,NA,NA,13-Jul,Unknown
Radeon Vega 9,NA,1767,NA,419,NA,NA,19-Oct,Unknown
Radeon HD 6900M,NA,1762,NA,425,NA,NA,12-Jun,Unknown
Radeon RX Vega11,NA,1760,NA,434,NA,NA,19-Oct,Unknown
Radeon R7 M465X,NA,1757,NA,593,NA,NA,18-May,Unknown
Radeon RX Vega 8,NA,1745,NA,496,NA,NA,18-Nov,Unknown
FirePro M6000 Mobility Pro,NA,1734,NA,627,NA,NA,13-Mar,Unknown
Intel Iris Plus 650,NA,1731,NA,427,NA,NA,17-Mar,Mobile
Intel HD P630,NA,1727,NA,722,NA,NA,17-Mar,Unknown
FirePro W600,$400.99*,1725,4.3,603,75,23.01,13-Jan,Workstation
Quadro P500,NA,1724,NA,635,NA,NA,18-Mar,Unknown
FirePro M4000,NA,1720,NA,368,NA,NA,12-Aug,Workstation
GeForce GTX 650,$89.35*,1720,19.25,335,64,26.88,12-Sep,Desktop
GeForce GTX 670MX,NA,1715,NA,312,75,22.87,12-Dec,Mobile
Radeon R9 M375X,NA,1693,NA,462,NA,NA,16-Jun,Mobile
FirePro M4000 Mobility Pro,NA,1688,NA,511,NA,NA,15-Nov,Unknown
Radeon HD 7750,$144.99 ,1687,11.63,377,55,30.67,12-Jun,Desktop
Quadro K3000M,$155.00*,1685,10.87,372,75,22.46,12-Oct,Workstation
FirePro W5130M,NA,1674,NA,651,NA,NA,16-Mar,Unknown
Radeon RX 550X,NA,1674,NA,444,50,33.48,19-Apr,Desktop
Quadro P400,$113.59 ,1664,14.65,465,30,55.47,17-Aug,Workstation
Quadro K2000D,$417.30 ,1657,3.97,535,51,32.49,13-Apr,Workstation
Radeon HD HD7850M,NA,1652,NA,686,NA,NA,15-May,Unknown
Radeon HD 8870M,NA,1638,NA,629,NA,NA,14-Mar,Mobile
Quadro M520,NA,1632,NA,557,25,65.28,17-May,"Mobile, Workstation"
Ryzen 7 2700U with Radeon Vega,NA,1617,NA,442,NA,NA,18-Apr,Unknown
Radeon 550X,NA,1614,NA,353,NA,NA,19-Sep,Unknown
Intel UHD P630,NA,1609,NA,338,NA,NA,18-Aug,Unknown
Seria Radeon HD 7700,NA,1604,NA,201,NA,NA,15-Jul,Unknown
GeForce GTX 550 Ti,$131.28*,1599,12.18,313,116,13.79,12-Aug,Desktop
Radeon E8860,NA,1577,NA,679,NA,NA,15-Mar,Unknown
GeForce GTX 660M,$78.99*,1568,19.86,294,50,31.37,12-May,Mobile
Quadro K2000,$120.00*,1565,13.04,375,51,30.68,13-Mar,Workstation
Radeon Pro WX 2100,NA,1558,NA,384,35,44.52,17-Aug,Mobile
Radeon HD 7560D + HD 6670 Dual,NA,1555,NA,652,NA,NA,14-Jun,Unknown
Radeon R9 M385X,NA,1546,NA,317,75,20.62,19-Apr,Mobile
Intel Iris Pro Graphics 6200,NA,1545,NA,846,NA,NA,15-Jul,Unknown
Radeon HD 8470D + HD 7500 Dual,NA,1545,NA,465,NA,NA,18-Sep,Unknown
GeForce GTX 760M,NA,1542,NA,277,55,28.04,13-Aug,Mobile
GeForce 940MX,NA,1541,NA,173,NA,NA,16-Mar,Unknown
FirePro V8700,NA,1539,NA,527,NA,NA,15-Jan,Unknown
Radeon HD 4890,$109.99*,1535,13.96,247,190,8.08,12-Aug,Desktop
Radeon Vega 8,$126.86*,1533,12.08,422,NA,NA,18-Feb,"Desktop, Mobile"
Radeon Vega 10,NA,1532,NA,390,NA,NA,19-Apr,Unknown
Quadro 4000,$960.70 ,1528,1.59,370,142,10.76,10-Aug,Workstation
Radeon RX Vega 10,NA,1523,NA,390,NA,NA,19-Apr,Unknown
Radeon HD 7870M,NA,1507,NA,556,45,33.5,12-Dec,Mobile
Ryzen 5 2500U with Radeon Vega,NA,1503,NA,388,NA,NA,18-Apr,Unknown
Intel UHD 630,NA,1498,NA,296,NA,NA,17-Oct,Unknown
GeForce MX110,NA,1496,NA,214,NA,NA,17-Dec,Unknown
Radeon Vega 10 Mobile,NA,1495,NA,324,NA,NA,17-Dec,Unknown
Radeon HD 6670 + 7660D Dual,NA,1492,NA,483,NA,NA,15-Apr,Unknown
Radeon HD 7660D + HD 6670 Dual,NA,1485,NA,515,NA,NA,14-Dec,Unknown
Radeon R9 M365X,NA,1482,NA,446,50,29.63,17-Jun,Mobile
Radeon HD 7730,$49.99*,1469,29.38,451,47,31.25,15-Mar,Desktop
GeForce GTX 275,$119.99*,1462,12.18,499,219,6.67,12-Aug,Desktop
Radeon Vega 8 Mobile,NA,1457,NA,375,NA,NA,17-Nov,Unknown
GeForce GTX 285,$179.99*,1450,8.06,448,204,7.11,9-Apr,Desktop
FirePro W4100,$149.86*,1448,9.66,444,50,28.96,14-Nov,Workstation
Radeon R7 M380,NA,1447,NA,654,NA,NA,17-May,Unknown
Radeon R9 M270X,NA,1445,NA,485,NA,NA,15-Feb,Mobile
Radeon 540,NA,1443,NA,299,NA,NA,17-Aug,Unknown
Radeon R9 M370X,NA,1441,NA,364,50,28.81,15-Aug,Mobile
Intel Iris Plus 640,NA,1439,NA,383,NA,NA,17-Mar,Mobile
GeForce GT 740,$154.32*,1438,9.32,287,64,22.47,14-Jun,Desktop
Radeon HD 8470D + HD 6670 Dual,NA,1436,NA,512,NA,NA,17-Jul,Unknown
FirePro V5800,$54.99*,1433,26.05,482,NA,NA,16-Feb,Unknown
Radeon 540X,NA,1433,NA,349,NA,NA,19-Oct,Unknown
Radeon HD 7560D + 7670 Dual,NA,1426,NA,445,NA,NA,12-Jul,Unknown
Radeon R7 M370,NA,1418,NA,676,NA,NA,16-Jan,Mobile
Radeon Pro WX 4170,NA,1409,NA,427,50,28.18,19-Dec,Mobile
Intel Iris 550,NA,1400,NA,339,NA,NA,16-Feb,Unknown
Quadro K2100M,$550.00*,1398,2.54,287,55,25.42,13-Oct,Workstation
Radeon HD 7560D + HD 7670 Dual,NA,1380,NA,463,NA,NA,14-Sep,Unknown
Radeon R7 PRO A12-8870,NA,1376,NA,541,NA,NA,17-Jan,Unknown
Radeon HD 7850M,NA,1373,NA,566,40,34.32,12-Jun,Mobile
Intel Iris Pro P6300,NA,1368,NA,559,NA,NA,16-Jul,Unknown
Radeon R5 A10-9630P 4C+6G,NA,1366,NA,354,NA,NA,17-Jul,Unknown
FirePro M40003,NA,1364,NA,652,NA,NA,12-Oct,Unknown
Radeon HD 8670D + 6670 Dual,NA,1361,NA,568,NA,NA,13-Jun,Unknown
Radeon HD 5770,$369.22*,1355,3.67,293,108,12.55,12-Aug,Desktop
Radeon HD 7560D + HD 7700 Dual,NA,1347,NA,497,NA,NA,15-Mar,Unknown
GeForce 930MX,NA,1346,NA,198,17,79.16,16-Jul,Mobile
FireStream 9270,NA,1341,NA,473,160,8.38,14-Sep,Workstation
Radeon R7 PRO A12-9800,NA,1340,NA,562,NA,NA,17-Jan,Unknown
GeForce GT 545,$55.59*,1339,24.09,511,NA,NA,12-Aug,Unknown
Quadro 4000M,$91.01*,1337,14.69,405,100,13.37,11-Mar,Workstation
GeForce 845M,NA,1334,NA,289,NA,NA,15-Feb,Mobile
GeForce GT 750M,NA,1326,NA,250,50,26.51,13-Apr,Mobile
FirePro V5900,$319.99*,1325,4.14,494,75,17.67,11-Jul,Workstation
Radeon HD 8670D + HD 7600 Dual,NA,1318,NA,472,NA,NA,17-Oct,Unknown
FirePro M5950,NA,1314,NA,574,NA,NA,11-Jun,Workstation
FirePro V4900,$144.99*,1310,9.03,688,75,17.46,12-May,Workstation
Radeon R7 PRO A8-8670E,NA,1310,NA,442,NA,NA,17-Aug,Unknown
Radeon HD 4870 X2,NA,1309,NA,565,286,4.58,12-Aug,Desktop
GeForce GTX 560M,NA,1306,NA,273,75,17.41,11-Jun,Mobile
Radeon HD 8790M,NA,1306,NA,751,NA,NA,14-Dec,Mobile
Radeon R7 M465,NA,1306,NA,780,NA,NA,17-May,Unknown
Tesla M2070-Q,NA,1306,NA,444,NA,NA,14-Jan,Unknown
Radeon R9 255,$344.16*,1304,3.79,350,NA,NA,14-Jun,Desktop
TENSOR 1.0 Driver Intel HD 630,NA,1300,NA,873,NA,NA,19-Apr,Unknown
GeForce GTX 460M,NA,1299,NA,274,50,25.97,12-Aug,Mobile
FirePro 3D V5800,$369.99*,1290,3.49,391,74,17.43,10-Oct,Workstation
GeForce GTX 760A,NA,1281,NA,781,NA,NA,15-Apr,Unknown
Radeon R7 A370,NA,1281,NA,742,NA,NA,16-Jun,Unknown
Radeon R7 + R7 200 Dual,NA,1279,NA,473,NA,NA,14-Nov,Unknown
FirePro 3D V8750,"$1,230.99*",1272,1.03,542,154,8.26,9-Aug,Workstation
Radeon R7 PRO A10-9700,NA,1264,NA,462,NA,NA,17-Feb,Unknown
Firepro W4190M,NA,1263,NA,621,NA,NA,16-Apr,Unknown
Radeon HD 8570D + HD 6670 Dual,NA,1261,NA,537,NA,NA,14-Oct,Unknown
Radeon HD 7560D + HD 7600 Dual,NA,1258,NA,457,NA,NA,17-Apr,Unknown
Intel Iris 540,NA,1256,NA,315,NA,NA,15-Nov,Unknown
Radeon R7 A12-9800 RADEON,NA,1248,NA,475,NA,NA,17-Feb,Unknown
Radeon HD 4870,$129.99*,1245,9.58,334,150,8.3,12-Aug,Desktop
Quadro 2000 D,NA,1239,NA,594,NA,NA,11-Feb,Unknown
Radeon HD 8570D + 6570 Dual,NA,1239,NA,459,NA,NA,14-Oct,Unknown
Radeon HD 7660D + 6670 Dual,NA,1238,NA,524,NA,NA,12-Nov,Unknown
Radeon R7 430,$114.99 ,1238,10.76,492,NA,NA,17-May,Unknown
Radeon HD 7560D + HD 6570 Dual,NA,1237,NA,528,NA,NA,14-Apr,Unknown
Radeon R7 + R5 340 Dual,NA,1235,NA,471,NA,NA,17-May,Unknown
Radeon R7 + R7 250 Dual,NA,1232,NA,576,NA,NA,16-Jun,Unknown
GeForce 930A,NA,1227,NA,617,NA,NA,16-Jan,Unknown
Radeon HD 8670D + HD 6670 Dual,NA,1222,NA,541,NA,NA,14-May,Unknown
Radeon R9 M375,NA,1220,NA,569,NA,NA,15-Aug,Mobile
GeForce GTX 260,$95.38*,1212,12.7,286,202,6,12-Aug,Desktop
Radeon HD 6770,$76.99*,1212,15.75,300,108,11.23,11-Apr,Desktop
Radeon HD 8790M / R9 M290X,NA,1211,NA,694,NA,NA,15-Aug,Unknown
FirePro 3D V8700,$199.99*,1206,6.03,515,151,7.99,10-Nov,Workstation
GeForce GPU,NA,1205,NA,166,NA,NA,15-Jul,Mobile
N16P-GX,NA,1205,NA,803,NA,NA,15-Apr,Unknown
Radeon R9 M275X / M375,NA,1205,NA,395,50,24.1,14-Dec,Mobile
Radeon HD 7660D + 7540D Dual,NA,1204,NA,547,NA,NA,13-Mar,Unknown
Radeon HD 7750M,NA,1191,NA,693,28,42.55,13-Apr,Mobile
Radeon R7 +8G,NA,1191,NA,460,NA,NA,16-Nov,Unknown
Radeon Vega 6,"$1,799.99*",1179,0.65,305,NA,NA,18-May,Unknown
FireStream 9250,NA,1165,NA,465,150,7.77,13-Sep,Workstation
Radeon 535,NA,1162,NA,341,NA,NA,19-Jan,Unknown
Radeon R7 250,$59.99*,1162,19.37,276,75,15.49,13-Nov,Desktop
Barco MXRT 5400,NA,1161,NA,457,NA,NA,16-Dec,Unknown
Intel Coffee Lake UHD,NA,1158,NA,918,NA,NA,17-Nov,Unknown
Quadro K620M,NA,1150,NA,175,NA,NA,15-Mar,Unknown
Radeon HD 5750,$69.41*,1149,16.55,307,86,13.36,12-Aug,Desktop
Radeon RX 640,NA,1149,NA,250,50,22.98,20-Feb,"Desktop, Mobile"
GeForce GT 640,$165.00*,1148,6.96,262,65,17.66,11-Dec,Desktop
Intel UHD,NA,1148,NA,268,NA,NA,18-Jun,Unknown
Radeon R9 M280X,NA,1148,NA,327,75,15.31,20-Jan,Mobile
Radeon R7 A10-9700 RADEON,NA,1145,NA,280,NA,NA,17-Mar,Unknown
GeForce GT 745A,NA,1144,NA,748,NA,NA,13-Aug,Unknown
Radeon R7 PRO A10-9700E,$529.00*,1143,2.16,460,NA,NA,17-Feb,Unknown
Radeon HD 8850M / R9 M265X,NA,1140,NA,741,NA,NA,16-Feb,Unknown
GeForce GTS 450,$79.99*,1138,14.23,286,106,10.74,12-Aug,Desktop
GeForce 840A,NA,1137,NA,331,NA,NA,14-Nov,Unknown
GeForce GTX 295,$159.99*,1132,7.07,462,289,3.92,9-Apr,Desktop
Radeon HD 4850 X2,NA,1132,NA,542,250,4.53,12-Mar,Desktop
GeForce GT 650M,NA,1131,NA,229,45,25.13,12-Aug,Mobile
Radeon HD 7560D + 6670 Dual,NA,1131,NA,501,NA,NA,12-Dec,Unknown
Quadro FX 5800,$178.89*,1128,6.3,433,189,5.97,9-Apr,Workstation
Radeon HD 6750,$49.99*,1128,22.56,340,86,13.12,11-Apr,Desktop
Radeon R7 PRO A12-8870E,NA,1127,NA,367,NA,NA,16-Dec,Unknown
Intel HD 630,NA,1126,NA,261,NA,NA,16-Jul,Unknown
Radeon HD 8650G + 7700M Dual,NA,1126,NA,399,NA,NA,14-Jul,Unknown
Quadro 3000M,$69.99*,1124,16.06,296,75,14.99,11-Jun,Workstation
RadeonT R5 430,NA,1124,NA,920,NA,NA,17-Sep,Unknown
Radeon HD 7660D + 7500 Dual,NA,1121,NA,500,NA,NA,13-Dec,Unknown
Radeon R7 M260X,NA,1116,NA,587,NA,NA,15-Mar,Mobile
Radeon R7 A10-8850,NA,1115,NA,544,NA,NA,17-Jan,Unknown
Radeon R9 M275,$699.99*,1115,1.59,569,NA,NA,14-Oct,Mobile
Quadro K1100M,$49.95*,1108,22.18,276,45,24.62,13-Aug,Workstation
Radeon R7 A12-9800E RADEON,$139.19*,1106,7.94,389,NA,NA,17-Sep,Unknown
Quadro 2100M,NA,1100,NA,765,NA,NA,13-Feb,Unknown
Radeon HD 7660D + 6570 Dual,NA,1100,NA,551,NA,NA,13-Mar,Unknown
Radeon R7 A10-9700E RADEON,NA,1100,NA,403,NA,NA,18-Jan,Unknown
GeForce GTX 850M - MODDED,NA,1092,NA,819,NA,NA,14-Oct,Unknown
MIRRORV3,NA,1081,NA,421,NA,NA,19-Jul,Unknown
Barco MXRT 5450,NA,1079,NA,478,NA,NA,13-May,Unknown
Radeon R5 PRO A6-8570 2C+6G,NA,1079,NA,449,NA,NA,17-Jan,Unknown
GeForce 940M,NA,1074,NA,153,33,32.54,15-Mar,Mobile
Radeon HD 8570,$98.68*,1073,10.87,409,66,16.25,13-Aug,Desktop
Radeon HD 8450G + 8600/8700M Dual,NA,1070,NA,381,NA,NA,13-Nov,Unknown
FirePro M4170,NA,1066,NA,646,NA,NA,15-Feb,Unknown
GeForce 920MX,NA,1063,NA,153,NA,NA,16-Jun,Unknown
Radeon HD 7660D + 7670 Dual,NA,1062,NA,494,NA,NA,12-Nov,Unknown
Intel UHD Graphics 620,NA,1061,NA,250,NA,NA,17-Aug,Desktop
Radeon HD 7520G + 7700M Dual,NA,1061,NA,331,NA,NA,13-Apr,Unknown
Firepro M4100,NA,1059,NA,623,NA,NA,15-Feb,Workstation
GeForce GT 445M,NA,1055,NA,391,35,30.15,10-Nov,Mobile
Radeon R5 340,NA,1055,NA,595,NA,NA,16-Oct,Unknown
Radeon R7 M460,NA,1054,NA,271,NA,NA,16-Dec,Unknown
OPAL XT/GL,NA,1053,NA,640,NA,NA,15-Oct,Unknown
GeForce GTX 850A,NA,1050,NA,551,NA,NA,15-May,Unknown
Radeon HD 7670A,NA,1050,NA,702,NA,NA,12-Feb,Unknown
Radeon R7 PRO A8-9600,NA,1049,NA,482,NA,NA,16-Dec,Unknown
Quadro K2000M,$144.04*,1048,7.27,291,55,19.05,12-Jul,Workstation
Radeon R7 + R7 240 Dual,NA,1045,NA,374,NA,NA,15-Apr,Unknown
Radeon R7 Opteron X3421,NA,1044,NA,361,NA,NA,17-Sep,Unknown
GeForce GTX 280,$522.78*,1040,1.99,429,236,4.41,12-Aug,Desktop
Radeon HD 8570D + 6670 Dual,NA,1040,NA,505,NA,NA,14-Sep,Unknown
Radeon R9 M265X,NA,1038,NA,266,NA,NA,14-Nov,Mobile
Mobility Radeon HD 5870,NA,1036,NA,232,50,20.72,12-Jul,Mobile
Radeon HD 8570D + HD 8570 Dual,NA,1033,NA,520,NA,NA,16-Apr,Unknown
GeForce 940A,NA,1031,NA,538,NA,NA,15-Dec,Unknown
Radeon HD 8600/8700M,NA,1030,NA,554,NA,NA,14-Nov,Unknown
FirePro W4170M,NA,1029,NA,250,NA,NA,15-Apr,Unknown
Radeon HD7570,NA,1029,NA,357,NA,NA,14-Jan,Unknown
Radeon R7 + R5 330 Dual,NA,1028,NA,531,NA,NA,16-Mar,Unknown
Radeon R7 A8-7500,NA,1028,NA,493,NA,NA,17-Feb,Unknown
FirePro M4150,NA,1025,NA,381,NA,NA,15-Jun,Unknown
Radeon R9 A375,NA,1024,NA,232,NA,NA,20-May,Unknown
Radeon HD 8670D + R7 240 Dual,NA,1020,NA,525,NA,NA,14-Oct,Unknown
Radeon HD 6700M,NA,1017,NA,523,NA,NA,12-Aug,Unknown
Intel Iris Pro 5200,NA,1016,NA,410,NA,NA,13-Jun,Unknown
NVS 810,$624.99*,1015,1.62,457,NA,NA,16-Feb,Unknown
Radeon R5 A6-9500E 2C+4G,NA,1015,NA,438,NA,NA,18-Oct,Unknown
Radeon R7 PRO A12-9800E,NA,1015,NA,451,NA,NA,17-Jan,Unknown
GeForce 840M,NA,1012,NA,133,30,33.73,14-May,Mobile
Radeon HD 7690M XT,NA,1009,NA,552,25,40.37,15-Jan,Mobile
GeForce 830A,NA,1005,NA,736,NA,NA,14-Dec,Unknown
GeForce 930M,NA,1004,NA,163,NA,NA,15-Jul,Unknown
Radeon HD 7690M,NA,1003,NA,576,20,50.15,12-Dec,Mobile
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,NA,1002,NA,347,NA,NA,14-Apr,Unknown
Intel HD 530,NA,1001,NA,233,NA,NA,15-Aug,Unknown
Radeon HD 7660G + HD 7500M/7600M Dual,NA,999,NA,323,NA,NA,16-Apr,Unknown
Radeon HD 8570D + R7 200 Dual,NA,999,NA,401,NA,NA,14-May,Unknown
Radeon HD 7640G + HD 8750M Dual,NA,997,NA,293,NA,NA,15-Aug,Unknown
Radeon R5 430,$819.00*,997,1.22,566,NA,NA,17-Aug,Unknown
Radeon R7 A10-7850K,NA,995,NA,322,95,10.48,14-Oct,Desktop
Radeon R7 M350,NA,989,NA,317,NA,NA,16-Aug,Unknown
Radeon R7 A10-7870K,NA,988,NA,273,NA,NA,15-Jun,Unknown
Quadro 2000D,$170.00*,986,5.8,396,NA,NA,11-Oct,Unknown
Radeon HD 7560D + 7570 Dual,NA,985,NA,434,NA,NA,13-Sep,Unknown
Radeon HD 7670,NA,984,NA,317,66,14.91,12-Feb,Desktop
Radeon HD 8690M,NA,984,NA,768,NA,NA,15-Feb,Unknown
Radeon HD 7560D + 7560D Dual,NA,983,NA,420,NA,NA,14-May,Unknown
GeForce 830M,NA,977,NA,170,25,39.07,14-Oct,Mobile
Radeon HD 8670D + 8570 Dual,NA,974,NA,419,NA,NA,14-Mar,Unknown
Radeon E6760,$239.99*,973,4.06,573,NA,NA,12-Jun,Unknown
Radeon HD 8850M,NA,973,NA,502,NA,NA,15-Apr,Mobile
Radeon R7 PRO A10-8750B,NA,972,NA,397,NA,NA,15-Nov,Unknown
Radeon R6 A10-9600P 4C+6G,NA,970,NA,336,NA,NA,18-Dec,Unknown
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,NA,967,NA,351,NA,NA,13-Dec,Unknown
Radeon HD 6770M,NA,964,NA,572,NA,NA,11-May,Mobile
Radeon HD 8570D + R7 240 Dual,NA,964,NA,489,NA,NA,14-Dec,Unknown
Radeon R7 A10-8750,NA,963,NA,328,NA,NA,15-Sep,Unknown
Radeon R7 A10 PRO-7850B,NA,962,NA,497,NA,NA,14-Nov,Unknown
Radeon HD 5600/5700,NA,959,NA,463,NA,NA,11-Jan,Unknown
