Name,LatencyNS,Read_Uncached_GBs,Write_GBs,Price
AMD R7416G2133U2S 16GB,78,13.5,6.7,NA
AMD R7416G2400U2S 16GB,22,18.1,14.6,NA
Apacer Technology 76.B305G.D500B 4GB,101,13.9,6.7,NA
Apacer Technology 76.C102G.D170B 8GB,24,17,13.2,NA
Apacer Technology 76.D105G.D090B 16GB,23,17.9,13.3,NA
Apacer Technology 76.D305G.D060B 16GB,25,16.7,12.5,NA
Apacer Technology 76.D305G.D390B 16GB,37.625,13.5,7.4,NA
Apacer Technology 78.B1GM3.AF00B 4GB,25,13.1,6.4,NA
Apacer Technology 78.B1GM3.C7W0B 4GB,24,16,11.4,NA
Apacer Technology 78.B1GN3.4032B 4GB,79,13.9,7.8,NA
Apacer Technology 78.B1GN3.AZ32B 4GB,69,16.4,9,NA
Apacer Technology 78.B1GQB.4010B 4GB,71,13.5,5.2,NA
Apacer Technology 78.B1GS6.AUC0B 4GB,28,11.7,6,NA
Apacer Technology 78.BAGM6.40C0B 4GB,22,13.8,7.1,NA
Apacer Technology 78.BAGMD.AF20B 4GB,21,18.5,13.6,NA
Apacer Technology 78.BAGN8.AZC0B 4GB,71,15.9,8,NA
Apacer Technology 78.BAGNF.40C0B 4GB,60,18,9.3,NA
Apacer Technology 78.BAGP4.AR50C 4GB,71,15.4,8.2,NA
Apacer Technology 78.BAGSR.4030B 4GB,73,14.5,7.7,NA
Apacer Technology 78.C1GM3.C7W0B 8GB,78,13.4,6.6,NA
Apacer Technology 78.C1GM3.C7Z0B 8GB,25,13,6.5,NA
Apacer Technology 78.C1GM3.C7Z0C 8GB,26,14.7,9.7,NA
Apacer Technology 78.C1GMM.AUC0B 8GB,23,14.7,6.9,NA
Apacer Technology 78.C1GMM.AUF0B 8GB,29,13.3,10.1,NA
Apacer Technology 78.C1GMM.AUW0C 8GB,71,14.3,7,NA
Apacer Technology 78.C1GMM.BAC0B 8GB,81,13.9,7.5,NA
Apacer Technology 78.C1GMM.DFW0C 8GB,24,12.3,6.2,NA
Apacer Technology 78.C1GMS.C7Z0C 8GB,24,16.9,12.8,NA
Apacer Technology 78.C1GMW.AUC0B 8GB,24,13.7,6.8,NA
Apacer Technology 78.C1GMW.AZC0B 8GB,24,17.2,12.5,NA
Apacer Technology 78.C1GQ5.C7C0B 8GB,81,13,6.6,NA
Apacer Technology 78.C1GQB.4032B 8GB,28.5,18,13.8,NA
Apacer Technology 78.C1GS7.AUC0B 8GB,21,18.4,14.4,NA
Apacer Technology 78.C1GS7.AUW0B 8GB,28.4,17.4,13.3,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Apacer Technology 78.C1GS7.DFW0C 8GB,22,17.4,12.7,NA
Apacer Technology 78.C2GF2.AU00B 8GB,28,15.4,12.2,NA
Apacer Technology 78.C2GF6.AU20B 8GB,25,12.3,5.7,NA
Apacer Technology 78.C2GFA.AF30B 8GB,26,14.8,12.2,NA
Apacer Technology 78.C2GFK.AR20B 8GB,26,12.8,9.2,NA
Apacer Technology 78.C2GFL.C720B 8GB,28,14.5,11.1,NA
Apacer Technology 78.C2GFP.C700B 8GB,31,14.4,11,NA
Apacer Technology 78.CAGMR.40C0B 8GB,73,14.7,7.9,NA
Apacer Technology 78.CAGMR.ARC0B 8GB,23,14.4,6.7,NA
Apacer Technology 78.CAGMT.40C0B 8GB,23,16.3,12.3,NA
Apacer Technology 78.CAGN4.4020B 8GB,17,21.7,17.3,NA
Apacer Technology 78.CAGN7.4000C 8GB,65,16.8,8.2,NA
Apacer Technology 78.CAGNK.4040B 8GB,17,22.1,17.2,NA
Apacer Technology 78.CAGNT.4050B 8GB,22,17.7,12.9,NA
Apacer Technology 78.CAGNT.AR40B 8GB,18,21.6,16.5,NA
Apacer Technology 78.CAGP7.40C0B 8GB,23,15.4,9.8,NA
Apacer Technology 78.CAGP7.4020B 8GB,69,12.6,6.3,NA
Apacer Technology 78.CAGP7.AFW0C 8GB,71,14,6.8,NA
Apacer Technology 78.CAGP7.AZ20B 8GB,23,14.4,6.8,NA
Apacer Technology 78.CAGP7.AZC0B 8GB,23,15.9,11.9,NA
Apacer Technology 78.CAGP7.C7C0B 8GB,75,13.6,6.6,NA
Apacer Technology 78.CAGP7.C7Z0B 8GB,21,17.7,13.2,NA
Apacer Technology 78.CAGP7.DFW0C 8GB,72,13.8,6.7,NA
Apacer Technology 78.CAGPE.AUF0B 8GB,23,16.7,12.3,NA
Apacer Technology 78.CAGPL.ARC0B 8GB,74,13.9,6.8,NA
Apacer Technology 78.CAGPN.AZ50C 8GB,68,14.9,8.5,NA
Apacer Technology 78.CAGPN.DF40B 8GB,21,19,13.6,NA
Apacer Technology 78.CAGPP.40C0B 8GB,63,17,8.3,NA
Apacer Technology 78.CAGPP.ARC0B 8GB,76,13.8,5.8,NA
Apacer Technology 78.CAGPP.ARW0B 8GB,72,11.9,5,NA
Apacer Technology 78.CAGPW.40C0B 8GB,21,18.4,14.3,NA
Apacer Technology 78.CAGQ7.ARC0B 8GB,70,15.1,7.5,NA
Apacer Technology 78.CAGQE.C750B 8GB,76,13.5,7.8,NA
Apacer Technology 78.CAGR4.40C0B 8GB,34,16.8,11.3,NA
Apacer Technology 78.CAGR4.DFC0B 8GB,72,9.6,4.2,NA
Apacer Technology 78.CAGR9.40C0B 8GB,19,19.9,18.4,NA
Apacer Technology 78.CAGRN.40C0B 8GB,58,17.4,8.5,NA
Apacer Technology 78.CAGSZ.4070B 8GB,22,16.9,13.4,NA
Apacer Technology 78.D1GMM.AU10B 16GB,24,17,13.8,NA
Apacer Technology 78.D1GS7.B7B0B 16GB,23,18.5,15.2,NA
Apacer Technology 78.D2GF2.4010B 16GB,22,17.6,13.7,NA
Apacer Technology 78.D2GF2.AU30B 16GB,32,14.6,11.2,NA
Apacer Technology 78.D2GFH.4030B 16GB,25,17.7,13.8,NA
Apacer Technology 78.D2GG7.AU30B 16GB,24,17.2,15,NA
Apacer Technology 78.DAGNN.4030B 16GB,64,17.9,10.2,NA
Apacer Technology 78.DAGP2.4030B 16GB,22,18.3,14,NA
Apacer Technology 78.DAGQ7.40B0B 16GB,38,17,9.2,NA
Apacer Technology 78.DAGRL.4050C 16GB,22,17.7,14.4,NA
Apacer Technology AQD-D4U8GN24-SE 8GB,23,17.5,13.4,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Apacer Technology AQD-D4U8GN26-SE 8GB,21,16.4,7.8,NA
Apacer Technology AQD-SD4U4GN24-SG 4GB,83,14.8,6.5,NA
Apacer Technology D12.2324CS.001 8GB,22,17.8,13.9,NA
Apacer Technology D12.2324WT.001 8GB,21,18.1,13.8,NA
Apacer Technology D12.2326WH.001 16GB,80,16,8.9,NA
Apacer Technology D12.2344DT.001 4GB,64,17.6,8.3,NA
Apacer Technology D22.2221ZA.001 8GB,50,12.8,6.6,NA
Apacer Technology GD2.0918CT.001 4GB,71,15.2,8.1,NA
Apacer Technology GD2.0927WH.001 8GB,71,15.4,8,NA
Apacer Technology GD2.1129WH.001 16GB,23,17.5,13.8,NA
Apacer Technology GD2.1140CH.001 4GB,62,17.2,9.6,NA
Apacer Technology GD2.1527CS.001 8GB,55,19.5,9.2,NA
Apacer Technology GD2.1827CS.003 8GB,56,19.6,9.3,NA
Apacer Technology GD2.11173T.001 4GB,51,12.5,5.9,NA
Apacer Technology GD2.111881.002 4GB,65,16.6,9,NA
Aquarius Production Company LLC 16G-D4-2666-MR 4GB,20,19.8,15,NA
Asgard VMA41UF-MEC1U2BQ2 4GB,29,15.7,12,NA
Asgard VMA41UG-MEC1U2AW1 8GB,71,14.8,7.7,NA
Asgard VMA41UH-MEC1U2AW1 16GB,28,13.7,6.8,NA
Asgard VMA42UG-MEC1U2AW1 8GB,51,17.7,9.1,NA
Asgard VMA42UH-MEC1U2AJ2 16GB,25,16.4,14.1,NA
Asgard VMA44UG-MEC1U2AW1 8GB,61,17.2,8.9,NA
Asgard VMA44UI-MEC1U2AW2 32GB,66,15.3,9.5,NA
Asgard VMA45UG-MEC1U2AW1 8GB,19,19.7,15.3,NA
Asgard VMA45UG-MEC1U2AW2 8GB,62,15.9,9,NA
Asgard VMA45UG-MEC1U2BQ2 8GB,19,17.3,10.6,NA
Asgard VMA45UG-MIC1U22T2 8GB,69,16.2,8.3,NA
Asgard VML41UG-MIC1U22T1 8GB,65,16.4,8.4,NA
Atla Electronics Co. Ltd. AD4SST8GT1WB-FQGE 8GB,22,12.4,8.3,NA
ATP Electronics Inc. A4G08QA8BNPBSE 8GB,30,11.1,6.1,NA
Avant Technology J641GU42J5213N0 8GB,26,14.4,9.7,NA
Avant Technology J641GU42J7240N3 8GB,23,16.7,12.1,NA
Avant Technology J641GU42J7240ND 8GB,24,15.6,12.3,NA
Avant Technology J641GU42J9266ND 8GB,34.25,16,12.4,NA
Avant Technology J641GU42J9266NL 8GB,25,17.1,13.5,NA
Avant Technology J641GU48J5213NG 8GB,28,14,10.3,NA
Avant Technology J642GU42J5213N1 16GB,27,14.6,10.1,NA
Avant Technology J642GU42J5213N2 16GB,29,14,8.9,NA
Avant Technology J642GU42J5213N4 16GB,29,13.8,10.7,NA
Avant Technology J642GU42J5213NF 16GB,27,14.2,11,NA
Avant Technology J642GU42J7240N2 16GB,33,14.5,10.9,NA
Avant Technology J642GU42J7240N4 16GB,25,16.4,12.5,NA
Avant Technology J642GU42J7240NF 16GB,101,15.7,8.7,NA
Avant Technology J642GU42J9266N2 16GB,26,16.3,12.1,NA
Avant Technology J642GU42J9266N4 16GB,29,17.4,14.8,NA
Avant Technology J642GU42J9266NF 16GB,37.66666667,14.7,11.5,NA
Avant Technology J644GU44J9266NF 32GB,75,15.7,9.3,NA
Avant Technology W641GU42J5213N3 8GB,23,13.7,6.1,NA
Avant Technology W641GU42J5213NC 8GB,23,15.6,9.7,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Avant Technology W641GU42J7240NB 8GB,23,17.6,13.4,NA
Avant Technology W641GU42J7240NC 8GB,25,14.7,9.4,NA
Avant Technology W641GU42J9266NB 8GB,24,16.2,12.3,NA
Avant Technology W641GU42J9266NC 8GB,22,17.7,13.7,NA
Avant Technology W641GU48J5213ND 8GB,24,16.3,12.5,NA
Avant Technology W641GU48J7240ND 8GB,32,16.5,12.7,NA
Avant Technology W641GU67J5213N8 8GB,23,17.8,12.8,NA
Avant Technology W641GU67J7240N8 8GB,73,14.8,7.3,NA
Avant Technology W642GU42J5213N2 16GB,25,16.2,11.9,NA
Avant Technology W642GU42J5213N8 16GB,29,13.4,9.5,NA
Avant Technology W642GU42J5213N 16GB,23,18.3,13.7,NA
Avant Technology W642GU42J7240N8 16GB,26,16.3,13.4,NA
Avant Technology W642GU42J9266N8 16GB,23,17.5,14.5,NA
Avant Technology W6451U48J7240N6 4GB,75,14.7,6.4,NA
Avant Technology W6451U66J5213ND 4GB,31,15.6,12.3,NA
Avant Technology W6451U66J7240ND 4GB,75,15.6,7.6,NA
Avant Technology W6451U66J9266ND 4GB,72,16.6,8.2,NA
Avant Technology W6451U67J5213NB 4GB,76,14.4,7.7,NA
Avant Technology W6451U67J7240NB 4GB,73,15.1,8.1,NA
Avexir Technologies Corporation DDR4-2133 CL15 4GB 4GB,25,14.2,9.9,NA
Avexir Technologies Corporation DDR4-2133 CL15 8GB 8GB,27,14.2,10.6,NA
Avexir Technologies Corporation DDR4-2133 CL15 16GB 16GB,32,12.1,8.5,NA
Avexir Technologies Corporation DDR4-2400 4GB CL16 4GB,26,15.6,11.6,NA
Avexir Technologies Corporation DDR4-2400 8GB CL16 8GB,26,14.6,11.8,NA
Avexir Technologies Corporation DDR4-2400 CL16 4GB 4GB,30.75,15.6,10.9,NA
Avexir Technologies Corporation DDR4-2400 CL16 8GB 8GB,24,15.8,11.4,NA
Avexir Technologies Corporation DDR4-2400 CL16 16GB 16GB,27,14.4,9.2,NA
Avexir Technologies Corporation DDR4-2666 C17 4GB 4GB,63,16.6,8.2,NA
Avexir Technologies Corporation DDR4-2666 CL15 4GB 4GB,23,16.8,12.5,NA
Avexir Technologies Corporation DDR4-2666 CL15 8GB 8GB,22,17.4,13,NA
Avexir Technologies Corporation DDR4-2666 CL17 4GB 4GB,23,17,12.9,NA
Avexir Technologies Corporation DDR4-2666 CL17 8GB 8GB,25,15.9,12,NA
Avexir Technologies Corporation DDR4-2800 CL15 4GB 4GB,22,17.7,13.7,NA
Avexir Technologies Corporation DDR4-2800 CL15 8GB 8GB,24,16.6,12.4,NA
Avexir Technologies Corporation DDR4-3000 CL15 4GB 4GB,22,17.3,13.7,NA
Avexir Technologies Corporation DDR4-3000 CL15 8GB 8GB,23,17.6,13.4,NA
Avexir Technologies Corporation DDR4-3000 CL16 4GB 4GB,23,16.7,13.2,NA
Avexir Technologies Corporation DDR4-3000 CL16 8GB 8GB,21,18.5,14,NA
Avexir Technologies Corporation DDR4-3000 CL17 8GB 8GB,23,16.3,10.8,NA
Avexir Technologies Corporation DDR4-3200 CL16 4GB 4GB,20,18.9,14.6,NA
Avexir Technologies Corporation DDR4-3200 CL16 8GB 8GB,21,18.6,14,NA
Avexir Technologies Corporation DDR4-3600 CL17 4GB 4GB,24,17,13.5,NA
Avexir Technologies Corporation DDR4-3600 CL17 8GB 8GB,18,20.8,15.1,NA
Avexir Technologies Corporation T 4GB,21,18,13.4,NA
Avexir Technologies Corporation T-20181206 8GB,70,15.3,8.8,NA
Boya Microelectronics Inc. AM52SE22G64AP-RQ 16GB,25,15.4,13.4,NA
Boya Microelectronics Inc. AM52SE24G64AP-SQ 32GB,26,16.9,14.5,NA
Carry Technology Co. Ltd. 4DCC3IOGE-MATP 8GB,23,14.4,7.3,NA
Century Micro Inc. CENTURY JAPAN MEMORY 8GB,30,10.9,9.4,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Chun Well Technology Holding Limited CL16-18-18 D4-3000 16GB,29.16666667,17.5,14.2,NA
Chun Well Technology Holding Limited CL18-22-22 D4-3600 16GB,35.22222222,17.5,13,NA
Chun Well Technology Holding Limited CL19-19-19 D4-2666 16GB,41.25,15.6,11.8,NA
Chun Well Technology Holding Limited CL19-20-20 D4-3600 16GB,35,10.5,8.1,NA
Corsair CM4B4G1J2400A14K 4GB,25,14.3,11.1,NA
Corsair CM4B8G1J2400A16K2-O 8GB,21,18.1,13.2,NA
Corsair CM4B8G1J2400A16K2-ON 8GB,22,16.8,12.1,NA
Corsair CM4B8G1J2800K14K 8GB,27,17.4,13.1,NA
Corsair CM4B8G1L2666A18S4 8GB,32,11.4,12.7,NA
Corsair CM4B8G2J2133A15S 8GB,25,15.2,11.7,NA
Corsair CM4B8G2J2400A14K 8GB,24,16.4,11.8,NA
Corsair CM4B8G2J2666A15D 8GB,30.4,17,12.6,NA
Corsair CM4B8G2J3000K15K 8GB,22,17.2,13.3,NA
Corsair CM4B8G4J2400A16K2-ON 8GB,21,18.3,13.1,NA
Corsair CM4B8G7L2666A16K2-O 8GB,21,17.8,13.5,NA
Corsair CM4B16G1J2400A16K2-O 16GB,22,18.6,13.6,NA
Corsair CM4B16G2L2666A18K2 16GB,29.4,17.3,14.8,NA
Corsair CM4B16G4J2400A16K2-O 16GB,22,18.2,13.6,NA
Corsair CM4B16G7L2666A16K2-O 16GB,22,18.2,14.8,NA
Corsair CM4X4GD3000C15K4 4GB,21,17.7,13.5,NA
Corsair CM4X4GD3000C16K2 4GB,19,19.6,16.6,NA
Corsair CM4X4GF2133C13K4 4GB,24,15.4,11.2,NA
Corsair CM4X4GF2133C15S2 4GB,30,17.3,12,NA
Corsair CM4X4GF2400C14K4 4GB,23,16.3,11.9,NA
Corsair CM4X4GF2400C16K4 4GB,25,14.8,10.6,NA
Corsair CM4X4GF2400C16N2 4GB,76,13.5,7.3,NA
Corsair CM4X4GF2400C16S2 4GB,25,14.5,11.7,NA
Corsair CM4X4GF2400Z16K4 4GB,63,18.2,8.3,NA
Corsair CM4X4GF2666C16K4 4GB,26,14.8,10.4,NA
Corsair CM4X4GF3000C15K4 4GB,22,18,12.7,NA
Corsair CM4X8GC3000C15K4 8GB,27,19,14.3,NA
Corsair CM4X8GD3000C15K4 8GB,20,19.3,14.8,NA
Corsair CM4X8GD3000C16K4 8GB,33.33333333,16.6,13.7,NA
Corsair CM4X8GD3000C16K4D 8GB,28.25,18.1,13.8,NA
Corsair CM4X8GD3200C16K2E 8GB,39,17,10.2,NA
Corsair CM4X8GD3200C16K4 8GB,20,19.1,14.4,NA
Corsair CM4X8GD3600C18K2D 8GB,18,21.7,18.6,NA
Corsair CM4X8GE2133C13K4 8GB,24,16.1,12.3,NA
Corsair CM4X8GE2400C14K4 8GB,23,17.2,13,NA
Corsair CM4X8GE2400C15K4 8GB,22,15.5,8.4,NA
Corsair CM4X8GE2400C16K4 8GB,21,16.7,10.2,NA
Corsair CM4X8GE2666C16K4 8GB,24,16.1,11.9,NA
Corsair CM4X8GE2666C16K8 8GB,25,15.4,11.3,NA
Corsair CM4X8GE3000C15K4 8GB,21,19.1,14.4,NA
Corsair CM4X8GF2133C13K4 8GB,24,15.7,10.9,NA
Corsair CM4X8GF2133C15S2 8GB,28,15.2,10.3,NA
Corsair CM4X8GF2400C14K4 8GB,22,17.5,12.6,NA
Corsair CM4X8GF2400C16K4 8GB,28.66666667,16,11.4,NA
Corsair CM4X8GF2400C16N2 8GB,22,16.6,12.8,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Corsair CM4X8GF2400C16S4 8GB,24,16.6,12.5,NA
Corsair CM4X8GF2400Z16K4 8GB,29.2,16.5,12,NA
Corsair CM4X8GF2666C16K4 8GB,23,17.2,12.9,NA
Corsair CM4X8GF2666C16K8 8GB,21,17.7,12.8,NA
Corsair CM4X8GF2666C18S2 8GB,31.66666667,16.5,13.1,NA
Corsair CM4X8GF2666Z16K4 8GB,20,18.8,14.6,NA
Corsair CM4X8GF3000C15K4 8GB,21,18.6,13.6,NA
Corsair CM4X16GC3000C15D4 16GB,21,18.5,14.1,NA
Corsair CM4X16GC3000C15K4 16GB,24.66666667,18.7,13.5,NA
Corsair CM4X16GC3000C16K4D 16GB,27.2,17.7,12.8,NA
Corsair CM4X16GC3000C16K8 16GB,24,19.9,15.5,NA
Corsair CM4X16GC3200C16K2 16GB,22,15,7.3,NA
Corsair CM4X16GC3200C16K2E 16GB,36.33333333,18.2,14.4,NA
Corsair CM4X16GC3200C16K4 16GB,24,17.8,12.3,NA
Corsair CM4X16GE2133C13K8 16GB,23,17,12.7,NA
Corsair CM4X16GE2133C15S2 16GB,27,13.5,6.8,NA
Corsair CM4X16GE2400C14K4 16GB,24,16.8,13.4,NA
Corsair CM4X16GE2400C16K4 16GB,32,11.4,14,NA
Corsair CM4X16GE2400C16S4 16GB,30.75,16.3,11.6,NA
Corsair CM4X16GE2400Z16K4 16GB,67,15.2,7.9,NA
Corsair CM4X16GE2666C16K4 16GB,23,18.4,14,NA
Corsair CM4X16GE2666C16K8 16GB,27,15.6,12,NA
Corsair CM4X16GE2666C18S2 16GB,26,13.5,12.9,NA
Corsair CM4X16GE2666C18S4 16GB,34.33333333,15.2,12.3,NA
Corsair CM4X16GE2666Z16K4 16GB,28,14,13.8,NA
Corsair CMD8GX4M2B3000C15 4GB,21,18.5,14.2,$291.02*
Corsair CMD8GX4M2B3200C16 4GB,20,19.3,15.4,$79.99*
Corsair CMD8GX4M2B3466C18 4GB,20,19,15.3,NA
Corsair CMD8GX4M2B3600C18 4GB,22,18.1,14.4,$179.99*
Corsair CMD8GX4M2B3866C18 4GB,18,21.2,17.7,$257.22*
Corsair CMD8GX4M2B4000C19 4GB,18,21.4,18.5,$415.63*
Corsair CMD16GX4M2A2400C14 8GB,22,18.6,13.8,NA
Corsair CMD16GX4M2A2666C15 8GB,24,16.2,11.9,$115.99*
Corsair CMD16GX4M2B2400C10 8GB,22,17.6,12.4,$192.99*
Corsair CMD16GX4M2B2800C14 8GB,23,18,13.3,NA
Corsair CMD16GX4M2B3000C15 8GB,28.61111111,18.4,13.8,$225.02*
Corsair CMD16GX4M2B3200C14 8GB,23,17,12.5,$219.99*
Corsair CMD16GX4M2B3200C16 8GB,28.5,18.3,13.7,$129.99*
Corsair CMD16GX4M2B3466C16 8GB,18,20.8,16.6,$351.58*
Corsair CMD16GX4M2B3600C18 8GB,18,20.9,16.6,$239.99*
Corsair CMD16GX4M2B3733C17 8GB,24,17.2,12.4,$259.99*
Corsair CMD16GX4M2B3866C18 8GB,20,19.2,14.8,$259.99*
Corsair CMD16GX4M2C3333C16 8GB,22,17.7,13.8,$169.99*
Corsair CMD16GX4M2E4000C19 8GB,20,19.4,15.2,$279.99*
Corsair CMD16GX4M2K4133C19 8GB,19,19.9,18,NA
Corsair CMD16GX4M4A2666C15 4GB,38.8,13.9,11.1,$371.91*
Corsair CMD16GX4M4A2666C16 4GB,27,14.1,11.2,$399.99*
Corsair CMD16GX4M4A2800C16 4GB,39.33333333,12.6,9.8,$253.19*
Corsair CMD16GX4M4B2133C10 4GB,24,15.8,11.7,$204.67*
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
Corsair CMD16GX4M4B2400C10 4GB,25,13.7,10.2,$145.99*
Corsair CMD16GX4M4B3000C14 4GB,25,15.8,13.1,$452.44*
Corsair CMD16GX4M4B3000C15 4GB,32,15.9,11.5,$445.07*
Corsair CMD16GX4M4B3200C14 4GB,28,13,9.2,$199.99*
Corsair CMD16GX4M4B3200C15 4GB,22,17.7,14.1,$297.49*
Corsair CMD16GX4M4B3200C16 4GB,25,15,12,$259.99*
Corsair CMD16GX4M4B3200C16-R 4GB,22,16.8,12.5,NA
Corsair CMD16GX4M4B3300C16 4GB,23,16.5,13.1,$270.78*
Corsair CMD16GX4M4B3333C16 4GB,18,19.4,15.9,NA
Corsair CMD16GX4M4B3400C16 4GB,22,17,13.1,$249.99*
Corsair CMD16GX4M4B3600C18 4GB,23,16.4,13.5,$583.80*
Corsair CMD16GX4M4C3200C15 4GB,25,14.3,12,$194.99*
Corsair CMD16GX4M4C3200C16 4GB,21,18.6,14.6,$429.99*
Corsair CMD32GX4M2A2666C15 16GB,27.66666667,17.8,13.1,$440.19*
Corsair CMD32GX4M2A2800C16 16GB,26,15.7,10.7,$229.99*
Corsair CMD32GX4M2B2800C14 16GB,24,16.6,13.8,$259.99*
Corsair CMD32GX4M2B3000C15 16GB,26.57142857,19.1,14.7,$196.99*
Corsair CMD32GX4M2B3466C16 16GB,20,19.7,13.3,$699.99*
Corsair CMD32GX4M2C3200C14M 16GB,18,21.3,16.9,NA
Corsair CMD32GX4M2C3200C14T 16GB,20,18.4,13.9,NA
Corsair CMD32GX4M2C3200C16 16GB,27.33333333,19.1,14.3,$209.99*
